id,awardrecog
18,2026 Nanjing University Outstanding Ph.D. Dissertation
17,2025 ACM Certified Reviewer
16,2023 Nanjing University Dongliang Scholarship (Award of Excellence in Academic Achievements)
15,2023 Nanjing University Excellent Graduate Student Pacemaker
N14,2023 Nanjing University Guotai Junan Scholarship
13,2023 Nanjing University Excellent Graduate Student Innovation Project
12,2021 National Scholarship for Graduate Students
N11,2020 Nanjing University Graduate Scholarship
10,2020 Nanjing University - HPI Research Scholarship
9,2020 Nanjing University President's Special Scholarship for Ph.D. Student
8,2020 Nanjing University Outstanding Undergraduate Thesis - First Prize
7,2020 Nanjing University Software Institute Outstanding Graduate
6,2019 ACM SRC First Place Winner of Undergraduate Group in ASE 2019
5,2019 ACM SIGSOFT CAPS Program Award
N4,"2018 Nanjing University ""NJU - Linkage"" Leadership Scholarship"
N3,2018-2019 Nanjing University Renmin Scholarship
N2,2017-2018 Nanjing University Renmin Scholarship
N1,2016-2017 Nanjing University Renmin Scholarship
